               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049516,            0.057431,            0.079122,             0.10876,             0.24788,             0.16175,            0.098326,            0.041708,            0.041972,             0.02679,             0.00048,             0.00048,             0.09568
                   1,            0.044941,            0.047794,            0.031004,             0.69647,             0.29857,             0.29833,             0.18493,            0.042134,            0.035327,            0.017507,          0.00096997,          0.00096997,             0.09127
                   2,            0.045193,            0.046631,              0.0209,             0.75732,             0.32944,             0.35603,             0.21626,            0.042135,            0.032866,            0.014231,           0.0014598,           0.0014598,             0.08686
                   3,            0.053876,            0.046771,            0.017519,             0.73688,             0.32801,             0.35235,             0.19733,            0.051049,            0.033635,            0.015939,           0.0019494,           0.0019494,            0.082449
                   4,            0.054966,            0.045155,            0.015929,             0.74773,             0.37851,             0.40088,             0.23877,            0.042215,            0.033344,             0.01592,           0.0024386,           0.0024386,            0.078039
                   5,            0.054766,            0.046635,            0.014612,             0.77481,             0.38583,             0.43812,             0.22106,            0.044622,             0.03204,             0.01332,           0.0029274,           0.0029274,            0.073627
                   6,            0.054047,            0.044906,            0.013714,             0.55536,              0.4153,             0.38751,               0.204,            0.054953,            0.031906,            0.013465,           0.0034156,           0.0034156,            0.069216
                   7,            0.053477,            0.044926,            0.013995,              0.7171,             0.36065,             0.40973,              0.2106,            0.046072,            0.032209,            0.012761,           0.0039032,           0.0039032,            0.064803
                   8,            0.053397,            0.044618,            0.012602,             0.76763,             0.42011,             0.45967,             0.25192,             0.04403,            0.032037,            0.011993,             0.00439,             0.00439,             0.06039
                   9,            0.052583,            0.044416,            0.012556,             0.70837,              0.4281,             0.46982,             0.23807,            0.049298,             0.03179,            0.011676,           0.0048759,           0.0048759,            0.055976
                  10,            0.055654,            0.043199,            0.012718,             0.68195,             0.45072,             0.49085,             0.26783,            0.046596,            0.031615,            0.012455,           0.0053609,           0.0053609,            0.051561
                  11,            0.056547,            0.043508,            0.012471,                0.61,               0.482,             0.48877,             0.26756,            0.050388,            0.038777,            0.015924,           0.0058448,           0.0058448,            0.047145
                  12,            0.055684,            0.045312,            0.011801,             0.46186,             0.64359,             0.58338,             0.28879,            0.046152,            0.032527,            0.011978,           0.0063275,           0.0063275,            0.042728
                  13,            0.054147,            0.042419,            0.011714,             0.72369,             0.51387,             0.55369,             0.28432,            0.047087,            0.035279,            0.014144,            0.006809,            0.006809,            0.038309
                  14,            0.054037,            0.043784,            0.011272,             0.68749,             0.60607,             0.64457,              0.3355,             0.04346,            0.032061,            0.011499,            0.007289,            0.007289,            0.033889
                  15,            0.054588,            0.041831,            0.010894,             0.53377,             0.51206,             0.44087,              0.2283,            0.050725,            0.034664,            0.013646,           0.0077676,           0.0077676,            0.029468
                  16,            0.051396,            0.042265,            0.010922,             0.52425,             0.61959,             0.54958,             0.23735,            0.045898,            0.033656,            0.011939,           0.0082446,           0.0082446,            0.025045
                  17,            0.056273,            0.042769,             0.01263,             0.68349,             0.52734,             0.57321,             0.32983,            0.045653,            0.033353,            0.012958,           0.0087199,           0.0087199,             0.02062
                  18,            0.056248,            0.042491,             0.01189,             0.67323,             0.46662,             0.54006,             0.24054,             0.04753,            0.033847,            0.013233,           0.0091934,           0.0091934,            0.016193
                  19,            0.054036,            0.043357,            0.011666,             0.77064,             0.52875,             0.60872,             0.31574,            0.046462,             0.03425,            0.013543,            0.009665,            0.009665,            0.011765
                  20,            0.054074,            0.043351,             0.01138,             0.69055,             0.47931,             0.53683,             0.29936,            0.052191,            0.034122,             0.01304,           0.0098586,           0.0098586,           0.0098586
                  21,            0.051545,            0.043558,            0.010861,             0.65847,             0.52772,              0.5367,             0.29522,            0.045122,            0.034692,            0.012926,           0.0098586,           0.0098586,           0.0098586
                  22,             0.05106,            0.044152,            0.012039,              0.7472,             0.48878,             0.53235,             0.25428,            0.051788,            0.036536,            0.015241,           0.0098442,           0.0098442,           0.0098442
                  23,            0.050351,            0.045023,            0.010554,             0.68551,             0.51319,             0.55684,              0.2842,            0.047418,            0.036043,            0.014166,           0.0098291,           0.0098291,           0.0098291
                  24,            0.050205,            0.045085,            0.010774,             0.67328,             0.43664,             0.51821,             0.27217,            0.046565,            0.035921,            0.013391,           0.0098133,           0.0098133,           0.0098133
